imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
36.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9283679330160726, 0.3716624556603275], [-0.0, -0.3716624556603275, 0.9283679330160726]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.732664354874665e-05, -0.0001005507327767172, 0.12535370890998604]","[-0.3819552298807089, -0.00037417961866732384, -9.818193751682776e-05]"
37.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9384808472459367, 0.3453312892753113], [-0.0, -0.3453312892753113, 0.9384808472459367]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.744464182904721e-05, -7.478789069073476e-05, 0.12531642815127933]","[-0.35841733058734393, -0.00035148617071036623, -9.24867398691607e-05]"
38.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9478471048398232, 0.3187253768477895], [-0.0, -0.3187253768477895, 0.9478471048398232]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.756146772917891e-05, -8.949871142600565e-05, 0.12517250927607018]","[-0.328826564667475, -0.00031851060625751856, -8.532192915405254e-05]"
39.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.956459253990476, 0.29186588607780445], [-0.0, -0.29186588607780445, 0.956459253990476]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.79537524777394e-05, 6.58457727122758e-06, 0.12543192478581913]","[-0.2934628867009544, -0.0002790062007158711, -7.666785176822732e-05]"
40.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9643104428603411, 0.2647741864126726], [-0.0, -0.2647741864126726, 0.9643104428603411]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.810821417319351e-05, -7.328710472194174e-05, 0.1253232188902673]","[-0.26562028892906675, -0.0002436244313159022, -6.995219789273868e-05]"
41.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9713944250328961, 0.23747183204542235], [-0.0, -0.23747183204542235, 0.9713944250328961]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.827642236337762e-05, -9.777471700404869e-05, 0.12530390160007415]","[-0.2417731578791402, -0.00021493350150973266, -6.410306014648417e-05]"
42.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9777055644823085, 0.20998054476624842], [-0.0, -0.20998054476624842, 0.9777055644823085]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.844864233173391e-05, -0.00011407177352715208, 0.12526745317549495]","[-0.21683857706963722, -0.00018396702491886148, -5.7894958851423857e-05]"
43.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.9832388400574655, 0.1823221966806275], [-0.0, -0.1823221966806275, 0.9832388400574655]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.888615318923902e-05, -5.374025725801697e-05, 0.12550226664902311]","[-0.17841352836052257, -0.00013462686236248374, -4.810968072512489e-05]"
44.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9879898494768089, 0.1545187928078404], [-0.0, -0.1545187928078404, 0.9879898494768089]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.905560722866539e-05, -5.154735375548774e-05, 0.12540220517069967]","[-0.15105984208174314, -9.773862418597814e-05, -4.104553327639279e-05]"
45.png,True,"[0.0, 0.0, 0.1]","[[1.0000000000000002, -0.0, 0.0], [0.0, 0.9919548128307955, 0.1265924535737494], [-0.0, -0.1265924535737494, 0.9919548128307955]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.921585773107507e-05, -4.482078999965629e-05, 0.12526650128515332]","[-0.12332398085205348, -5.8718847129922365e-05, -3.3773655054433226e-05]"
