imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR,isSuccess,errorT,errorR
282.png,True,"[0.0, 0.0, np.float64(4.158585858585859)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00012853596590704195, -0.0004711652343197583, 5.20791689215951]","[-0.08635849278653751, 0.045617718992316834, -0.012773038705444887]",False,1.0493311472261362,0.09849830496102575
283.png,True,"[0.0, 0.0, np.float64(4.208080808080808)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.0003697134422360054, -0.0004588303901993204, 5.906506302002622]","[0.27681919802094995, -0.1485090330183657, 0.02568343010303574]",False,1.698425596138057,0.3151879437143329
284.png,True,"[0.0, 0.0, np.float64(4.257575757575758)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00043623650183783935, -0.0002630763739596128, 6.0065743130383025]","[0.29731118981363475, -0.1613167002567188, 0.029126574609309546]",False,1.7489986296511304,0.33950755325704746
285.png,True,"[0.0, 0.0, np.float64(4.307070707070707)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00043623650183783935, -0.0002630763739596128, 6.0065743130383025]","[0.29731118981363475, -0.1613167002567188, 0.029126574609309546]",False,1.6995036823167884,0.33950755325704746
286.png,True,"[0.0, 0.0, np.float64(4.356565656565657)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00010835836299677063, -0.00017929988804731627, 6.144549662250367]","[-0.28762014424905447, 0.23509758241352927, 0.024714281301474274]",False,1.7879840179583057,0.37229963246662157
287.png,True,"[0.0, 0.0, np.float64(4.406060606060606)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00010835836299677063, -0.00017929988804731627, 6.144549662250367]","[-0.28762014424905447, 0.23509758241352927, 0.024714281301474274]",False,1.7384890688127865,0.37229963246662157
288.png,True,"[0.0, 0.0, np.float64(4.455555555555556)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00027898732583688955, 0.00020850337751861453, 6.484960662727576]","[0.109242377049337, -0.019649930945359304, 0.027037543839681107]",False,2.0294051370594945,0.11424117255363574
289.png,True,"[0.0, 0.0, np.float64(4.505050505050505)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[0.00027898732583688955, 0.00020850337751861453, 6.484960662727576]","[0.109242377049337, -0.019649930945359304, 0.027037543839681107]",False,1.9799101883116894,0.11424117255363574
290.png,True,"[0.0, 0.0, np.float64(4.554545454545455)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
291.png,True,"[0.0, 0.0, np.float64(4.604040404040404)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
