imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
31.png,"[-0.11725230845468551, -0.051991371132678876, 1.1659258216497785]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.0666666666666664,apriltag,"[-0.11841004786000697, -0.047290983074192904, 1.1660730072836083]","[3.1112675774274217, -0.0034657592123935174, 0.06358964404393404]",True,"[-0.0011577394053214618, 0.004700388058485973, 0.00014718563382976058]","[-0.10235563129300299, -0.02249981295280645, -0.0026938795313566524]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
32.png,"[-0.11003129515745519, -0.05200546411670415, 1.16605720725091]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.1333333333333333,apriltag,"[-0.10985658646104221, -0.048254049583414706, 1.1657944048030002]","[3.132731724001319, -0.001226511108023679, 0.017393135656411905]",True,"[0.00017470869641297848, 0.003751414533289442, -0.0002628024479098823]","[-0.08150162147023994, 0.007191132576819052, 2.2642099672026957e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
33.png,"[-0.10258809683569473, -0.052019990731007104, 1.1661926354859222]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.2,apriltag,"[-0.10345074449642734, -0.048236930523203346, 1.1662612344023375]","[3.1315767304968327, -0.01448444810247777, 0.05874168886653809]",True,"[-0.0008626476607326156, 0.003783060207803758, 6.85989164153078e-05]","[-0.08204935136042699, -0.01889756481991325, -0.009405309082405739]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
34.png,"[-0.09492271348940409, -0.052034950975587746, 1.1663321063548158]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.2666666666666666,apriltag,"[-0.09674749072306335, -0.0479981772932328, 1.168223207285156]","[3.123978978145347, -0.0008671924754049354, 0.08887442330142066]",True,"[-0.0018247772336592583, 0.004036773682354944, 0.0018911009303401727]","[-0.08904718433586001, -0.03857428239893549, -0.001482487415633531]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
35.png,"[-0.08703514511858329, -0.05205034485044613, 1.1664756198575899]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.333333333333333,apriltag,"[-0.08631396385177753, -0.0548567103634667, 1.1626743223120577]","[-2.996546241738679, -0.0032411013888299766, -0.016082752453903514]",True,"[0.0007211812668057593, -0.0028063655130205686, -0.0038012975455321563]","[0.07227960565887005, 0.0073348224901852, 0.004375654652249297]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
36.png,"[-0.07892539172323232, -0.052066172355582196, 1.1666231759942451]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.4,apriltag,"[-0.08352946159398802, -0.05086020495556075, 1.1665630055757894]","[-3.084475961347365, 0.0032223049388639844, -0.19276376874155654]",True,"[-0.004604069870755706, 0.0012059674000214488, -6.017041845574056e-05]","[-0.021525176302304997, -0.10641744136360679, -0.004864651530308357]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
37.png,"[-0.0705934533033512, -0.052082433490996005, 1.1667747747647814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.466666666666667,apriltag,"[-0.07676951072586041, -0.04841141318927381, 1.1643970227902964]","[3.127595385404601, -0.008303752298432412, 0.24704023760941066]",True,"[-0.006176057422509207, 0.003671020301722193, -0.002377751974484976]","[-0.07682472897807517, -0.1391296531158016, -0.009776303051093007]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
38.png,"[-0.0620393298589399, -0.052099128256687444, 1.1669304161691987]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.533333333333333,apriltag,"[-0.06917366430917125, -0.049210910773337835, 1.1617139139099106]","[-3.1118204258115796, 0.012532268596245726, -0.29528133292889164]",True,"[-0.007134334450231351, 0.002888217483349609, -0.005216502259288047]","[-0.05671443604462153, -0.17057215317351196, -0.013468761336459573]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
39.png,"[-0.053263021389998444, -0.05211625665265662, 1.167090100207497]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.6,apriltag,"[-0.060947823417686196, -0.05039789381288568, 1.1617749395747892]","[-3.0833164762019347, 0.010645231293174056, -0.31475228617589246]",True,"[-0.007684802027687752, 0.0017183628397709413, -0.0053151606327077605]","[-0.030193343920224665, -0.18481595190388528, -0.012592713051258562]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
40.png,"[-0.04426452789652682, -0.05213381867890354, 1.167253826879676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.6666666666666665,apriltag,"[-0.05108438588673641, -0.0505835872637236, 1.1635911189007375]","[-3.087278582422888, 0.011357702185158523, -0.27359106312646175]",True,"[-0.0068198579902095866, 0.0015502314151799451, -0.0036627079789384176]","[-0.030292471607251556, -0.1581379533999899, -0.012080302785443918]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
41.png,"[-0.03504384937852503, -0.05215181433542809, 1.167421596185736]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.7333333333333334,apriltag,"[-0.04048220202284208, -0.05608815515502876, 1.164435409079376]","[-2.967735938543898, 0.011166039714829915, -0.20744046298891533]",True,"[-0.005438352644317045, -0.0039363408196006686, -0.0029861871063598944]","[0.0941103753702399, -0.12068455882270382, -0.009734744491900314]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
42.png,"[-0.02560098583599308, -0.05217024362223038, 1.167593408125677]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.8,apriltag,"[-0.029297122637051524, -0.04795622820005678, 1.1677731394596016]","[3.113841355925114, -0.006928791451782038, 0.15463133640079216]",True,"[-0.0036961368010584444, 0.004214015422173603, 0.000179731333924682]","[-0.09655617808829457, -0.08076834515551762, -0.006981084346526608]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
43.png,"[-0.015935937268930958, -0.05218910653931036, 1.167769262699499]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.8666666666666667,apriltag,"[-0.014314286751542693, -0.04670208196276767, 1.169306233093664]","[3.085843329230685, 0.002867043280177392, -0.03440511858567188]",True,"[0.0016216505173882647, 0.005487024576542689, 0.0015369703941650048]","[-0.12825127892222637, 0.04051522034193094, 0.0034500915246668666]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
44.png,"[-0.006048703677338674, -0.05220840308666802, 1.167949159907202]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.933333333333333,apriltag,"[-0.004653296159061322, -0.058166179783679633, 1.1666146107692978]","[-2.9333930595253035, 0.004041747666329641, 0.027328099386665028]",True,"[0.001395407518277352, -0.005957776697011613, -0.0013345491379042063]","[0.13541813101476585, 0.03666565331633165, 0.001112911022596251]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
45.png,"[0.004060714938783773, -0.05222813326430342, 1.168133099748786]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",3.0,apriltag,"[0.005559263205386018, -0.056576962577833505, 1.1673459137676763]","[-2.970710786527055, -0.0005167694357711059, 0.024030792189900476]",True,"[0.0014985482666022452, -0.004348829313530082, -0.000787185981109717]","[0.09810139885894235, 0.03418494954860743, 0.003774745050679994]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
46.png,"[0.014392318579436382, -0.05224829707221651, 1.168321082224251]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",3.0666666666666664,apriltag,"[0.015195659667207508, -0.048080085327186876, 1.1711140400591062]","[3.1148489980690868, 0.0008147309276337555, 0.006306798884010692]",True,"[0.0008033410877711263, 0.004168211745029633, 0.0027929578348553363]","[-0.09943465403979075, 0.014207747711553365, 0.0014210990746568526]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
47.png,"[0.024946107244619174, -0.05226889451040728, 1.1685131073335968]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",3.1333333333333333,apriltag,"[0.02377237229117225, -0.051084442844732854, 1.1698496259329283]","[-3.095087620721534, 0.0011994363749354997, -0.0763263209205987]",True,"[-0.0011737349534469248, 0.0011844516656744283, 0.001336518599331482]","[-0.027132313152517726, -0.031020722517706878, -0.0008612429404310499]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
48.png,"[0.03572208093433211, -0.05228992557887574, 1.1687091750768237]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",3.2,apriltag,"[0.03577601633077066, -0.05524667789255122, 1.167817962179026]","[-3.0003537079676335, 0.00811243164214256, -0.017032718099232954]",True,"[5.393539643855361e-05, -0.0029567523136754814, -0.0008912128977978107]","[0.06852675088616973, 0.006994817759190181, -0.0032293614073608486]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
